sentence,word,label
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,Asslam,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,o,ENG
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,AlikumIqrar,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,bahi,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,Jan,ENG
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,mujhe,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,help,ENG
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,ki,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,zarurt,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,hn,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,plez,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,mai,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,Kase,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,Ap,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,se,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,rabta,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,karu,URD
Asslam o AlikumIqrar bahi Jan mujhe help ki zarurt hn plez mai Kase Ap se rabta karu plz,plz,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,Sujja,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,bahi,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,south,ENG
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,America,ENG
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,my,ENG
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,hy,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,mabi,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,Sheikh,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,Zahid,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,AlNahyan,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,or,ENG
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,shahzady,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,Imran,URD
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,ky,ENG
Sujja bahi south America my hy mabi Sheikh Zahid AlNahyan or shahzady Imran ky sat,sat,ENG
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,Aik,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,American,ENG
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,company,ENG
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,aesi,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,bhi,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,hai,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,jo,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,sirf,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,un,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,ko,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,leti,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,hai,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,jo,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,fail,ENG
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,huway,URD
Aik American company aesi bhi hai jo sirf un ko leti hai jo fail huway hoon,hoon,URD
Shukrr aaj ma ne patwaran dekh li,Shukrr,URD
Shukrr aaj ma ne patwaran dekh li,aaj,URD
Shukrr aaj ma ne patwaran dekh li,ma,ENG
